date,category,name,change,percentage
2019-12-01,Video Card Description,NVIDIA GeForce GTX 650,0.0,0.0044
2019-12-01,Video Card Description,NVIDIA GeForce GTX 650 Ti,0.0,0.0018
2019-12-01,Video Card Description,NVIDIA GeForce GTX 660,0.0,0.0045
2019-12-01,Video Card Description,NVIDIA GeForce GTX 750,0.0,0.005
2019-12-01,Video Card Description,NVIDIA GeForce GTX 750 Ti,0.0,0.02
2019-12-01,Video Card Description,NVIDIA GeForce GTX 760,0.0,0.0055
2019-12-01,Video Card Description,NVIDIA GeForce GTX 770,0.0,0.0029
2019-12-01,Video Card Description,NVIDIA GeForce GTX 850M,0.0,0.0016
2019-12-01,Video Card Description,NVIDIA GeForce GTX 860M,0.0,0.0022
2019-12-01,Video Card Description,NVIDIA GeForce GTX 950,0.0,0.0094
2019-12-01,Video Card Description,NVIDIA GeForce GTX 950M,0.0,0.0063
2019-12-01,Video Card Description,NVIDIA GeForce GTX 960,0.0,0.0272
2019-12-01,Video Card Description,NVIDIA GeForce GTX 960M,0.0,0.0106
2019-12-01,Video Card Description,NVIDIA GeForce GTX 970,0.0,0.0221
2019-12-01,Video Card Description,NVIDIA GeForce GTX 970M,0.0,0.0029
2019-12-01,Video Card Description,NVIDIA GeForce GTX 980,0.0,0.0045
2019-12-01,Video Card Description,NVIDIA GeForce GTX 980 Ti,0.0,0.0042
2019-12-01,Video Card Description,NVIDIA GeForce MX110,0.0,0.0015
2019-12-01,Video Card Description,NVIDIA GeForce MX130,0.0,0.002
2019-12-01,Video Card Description,NVIDIA GeForce MX150,0.0,0.005
2019-12-01,Video Card Description,NVIDIA GeForce RTX 2060,0.0,0.0227
2019-12-01,Video Card Description,NVIDIA GeForce RTX 2060 SUPER,0.0,0.0036
2019-12-01,Video Card Description,NVIDIA GeForce RTX 2070,0.0,0.0173
2019-12-01,Video Card Description,NVIDIA GeForce RTX 2070 SUPER,0.0,0.0058
2019-12-01,Video Card Description,NVIDIA GeForce RTX 2080,0.0,0.0097
2019-12-01,Video Card Description,NVIDIA GeForce RTX 2080 SUPER,0.0,0.0028
2019-12-01,Video Card Description,NVIDIA GeForce RTX 2080 Ti,0.0,0.0058
2020-01-01,Video Card Description,NVIDIA GeForce 210,-0.0001,0.0017
2020-01-01,Video Card Description,NVIDIA GeForce 840M,0.0001,0.0031
2020-01-01,Video Card Description,NVIDIA GeForce 920M,0.0,0.0034
2020-01-01,Video Card Description,NVIDIA GeForce 920MX,0.0,0.0025
