Date,Open,High,Low,Close,Volume
11/2020,"75.85","87.05","73.76","81.43","492,025,089"
10/2020,"83.06","88.72","74.23","75.29","1,181,238,939"
09/2020,"91.92","94.28","73.85","81.99","1,168,671,365"
08/2020,"78.19","92.64","76.10","90.82","1,220,523,988"
07/2020,"52.63","78.96","51.60","77.43","1,563,822,541"
06/2020,"53.31","59.00","48.42","52.61","1,174,691,922"
05/2020,"51.07","56.98","49.09","53.80","1,193,261,673"
04/2020,"44.18","58.63","41.70","52.39","1,714,268,002"
03/2020,"47.42","50.20","36.75","45.48","2,096,840,688"
02/2020,"46.40","59.27","41.04","45.48","1,284,590,926"
01/2020,"46.86","52.81","46.10","47.00","1,231,534,834"
12/2019,"39.32","47.31","37.15","45.86","988,172,080"
11/2019,"38.94","41.79","38.19","39.15","589,910,710"
