Date,Open,High,Low,Close,Volume
11/2022,"61.49","79.16","58.03","76.37","1,045,693,123"
10/2022,"64.46","70.29","54.57","60.06","1,961,654,816"
09/2022,"82.35","85.68","62.83","63.36","1,677,537,746"
08/2022,"95.59","104.59","83.72","84.87","1,800,787,978"
07/2022,"75.19","94.81","71.60","94.47","1,633,450,007"
06/2022,"102.13","109.57","75.48","76.47","2,031,197,768"
05/2022,"85.66","104.55","83.27","101.86","2,898,334,374"
04/2022,"110.48","111.42","84.02","85.52","1,719,113,991"
03/2022,"122.33","125.67","100.08","109.34","2,460,340,836"
02/2022,"116.75","132.96","104.26","123.34","2,293,819,780"
01/2022,"145.14","152.42","99.35","114.25","1,638,847,508"
12/2021,"160.37","160.88","130.60","143.90","1,175,690,093"
11/2021,"148.00","164.46","142.86","158.37","613,251,492"
